udi,diameter,length
00763000136659,4,40
00643169706668,4,40
00763000136918,4,40
00643169706743,4,60
00763000136666,4,60
00643169706750,4,60
00763000136925,4,60
00643169706828,4,80
00763000136673,4,80
00643169706835,4,80
00763000136932,4,80
00763000136680,4,120
00643169706910,4,120
00763000136949,4,120
00763000136697,4,150
00643169706972,4,150
00763000136956,4,150
00763000752767,4,200
00763000752781,4,200
00763000752774,4,250
00763000752798,4,250
00643169706682,5,40
00763000136703,5,40
00643169706699,5,40
00763000136963,5,40
00643169706767,5,60
00763000136710,5,60
00643169706774,5,60
00763000136970,5,60
00763000136727,5,80
00643169706859,5,80
00763000136987,5,80
00763000136734,5,120
00643169706934,5,120
00763000136994,5,120
00763000136741,5,150
00643169706996,5,150
00763000137007,5,150
00763000752804,5,200
00763000752828,5,200
00763000752811,5,250
00763000752835,5,250
00643169706705,6,40
00763000136758,6,40
00763000137014,6,40
00643169706781,6,60
00763000136765,6,60
00643169706798,6,60
00763000137021,6,60
00763000136772,6,80
00643169706873,6,80
00763000137038,6,80
00763000136789,6,120
00643169706958,6,120
00763000137045,6,120
00643169707009,6,150
00763000136796,6,150
00643169707016,6,150
00763000137052,6,150
00763000752842,6,200
00763000752866,6,200
00763000752859,6,250
00763000752873,6,250
00763000136802,7,40
00643169706729,7,40
00763000137069,7,40
00643169706804,7,60
00763000136819,7,60
00643169706811,7,60
00763000137076,7,60
00643169706880,7,80
00763000136826,7,80
00643169706897,7,80
00763000137083,7,80
00763000136833,8,40
00763000136840,8,60
00763000136857,8,80
00763000136864,9,40
00763000136871,9,60
00763000136888,9,80
00763000136895,10,40
00763000136901,12,40
