udi,diameter,length
08714729829973,4,40
08714729829737,4,40
08714729829980,4,60
08714729829744,4,60
08714729829751,4,80
08714729829768,4,100
08714729830009,5,40
08714729829782,5,40
08714729830016,5,60
08714729829799,5,60
08714729830023,5,80
08714729829805,5,80
08714729830030,5,100
08714729829812,5,100
08714729830054,6,40
08714729829836,6,40
08714729830061,6,60
08714729829843,6,60
08714729830078,6,80
08714729829850,6,80
08714729830085,6,100
08714729829867,6,100
08714729830108,7,40
08714729829881,7,40
08714729830115,7,60
08714729829898,7,60
08714729830122,7,80
08714729829904,7,80
08714729830740,2,80
08714729830566,2,80
08714729830757,2,100
08714729830573,2,100
08714729830764,2,120
08714729830580,2,120
08714729830771,2,150
08714729830597,2,150
08714729830788,2.5,80
08714729830603,2.5,80
08714729830795,2.5,100
08714729830610,2.5,100
08714729830801,2.5,120
08714729830627,2.5,120
08714729830818,2.5,150
08714729830634,2.5,150
08714729830825,3,80
08714729830641,3,80
08714729830832,3,100
08714729830658,3,100
08714729830849,3,120
08714729830665,3,120
08714729830856,3,150
08714729830672,3,150
08714729830863,3.5,80
08714729830689,3.5,80
08714729830870,3.5,100
08714729830696,3.5,100
08714729830887,3.5,120
08714729830702,3.5,120
08714729830894,3.5,150
08714729830719,3.5,150
08714729830900,4,80
08714729830917,4,100
08714729830924,4,120
08714729830726,4,120
08714729830931,4,150
08714729830733,4,150
04260500360011,4,200
04260500360004,4,200
04260500360035,5,120
04260500360028,5,120
04260500360059,5,150
04260500360042,5,150
04260500360073,5,200
04260500360066,5,200
04260500360097,6,120
04260500360080,6,120
04260500360110,6,150
04260500360103,6,150
04260500360134,6,200
04260500360127,6,200
04260500360158,7,120
04260500360141,7,120
04260500360172,7,150
04260500360165,7,150
04260500360196,7,200
04260500360189,7,200
00191506031190,2,80
00191506031206,2,80
00191506031145,2,100
00191506031152,2,100
00191506031213,2,120
00191506031169,2,120
00191506031176,2,150
00191506031183,2,150
00191506031282,2.5,80
00191506031299,2.5,80
00191506031220,2.5,100
00191506031237,2.5,100
00191506031244,2.5,120
00191506031251,2.5,120
00191506031268,2.5,150
00191506031275,2.5,150
00191506031350,3,80
00191506031367,3,80
00191506031305,3,100
00191506031312,3,100
00191506031329,3,120
00191506031336,3,120
00191506031343,3,150
00191506031374,3,150
00191506031442,3.5,80
00191506031459,3.5,80
00191506031398,3.5,100
00191506031404,3.5,100
00191506031411,3.5,120
00191506031381,3.5,120
00191506031428,3.5,150
00191506031435,3.5,150
00191506031497,4,40
00191506031503,4,40
00191506031510,4,60
00191506031527,4,60
00191506031596,4,80
00191506031534,4,80
00191506031541,4,100
00191506031466,4,100
00191506031558,4,120
00191506031565,4,120
00191506031572,4,150
00191506031589,4,150
00191506031985,4,200
00191506031992,4,200
00191506031640,5,40
00191506031657,5,40
00191506031664,5,60
00191506031671,5,60
00191506031688,5,80
00191506031695,5,80
00191506031602,5,100
00191506031619,5,100
00191506032005,5,120
00191506032012,5,120
00191506032029,5,150
00191506032036,5,150
00191506032043,5,200
00191506032050,5,200
00191506031749,6,40
00191506031756,6,40
00191506031763,6,60
00191506031770,6,60
00191506031787,6,80
00191506031794,6,80
00191506031701,6,100
00191506031718,6,100
00191506032067,6,120
00191506032074,6,120
00191506032081,6,150
00191506032098,6,150
00191506032104,6,200
00191506032111,6,200
00191506031848,7,40
00191506031855,7,40
00191506031862,7,60
00191506031879,7,60
00191506031886,7,80
00191506031893,7,80
00191506032128,7,120
00191506032135,7,120
00191506032142,7,150
00191506032159,7,150
00191506032166,7,200
00191506032173,7,200
